crn,catalog_id,section,credits,title,meetings,primary_instructor
75572,RS 0210,A,3.000,Introduction to Judaism,"[{'days': 'TF', 'times': '0930am-1020am', 'dates': '09/01-12/07', 'location': 'CNS 209'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '09/01-12/07', 'location': 'CNS 209'}]",Ellen M.  Umansky
76811,RS 0222,A,3.000,Writings of John,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DMH 350'}]",Hugh M.  Humphrey
76812,RS 0222,B,3.000,Writings of John,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DMH 347'}]",Hugh M.  Humphrey
75781,RS 0230,A,3.000,Introduction to Catholicism,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DMH 348'}]",John E.  Thiel
76813,RS 0240,A,3.000,The Medieval Church,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'MCA 206'}]",John T.  Slotemaker
75723,RS 0244,A,3.000,Finding God in All Things: The Spiritual Legacy of Ignatius of Loyola,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'CNS 15'}]",James M.  Bowler
76814,RS 0245,A,3.000,The Reformation Era,"[{'days': 'MW', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'BNW 253'}]",David W.  Spollett
77021,RS 0252,01,3.000,Contemporary Moral Problems,"[{'days': '\xa0', 'times': 'TBA', 'dates': '11/02-12/18', 'location': 'ONLINE '}]",Christian   Cintron
77053,RS 0252,02,3.000,Contemporary Moral Problems,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/14-10/30', 'location': 'ONLINE '}]",Christian   Cintron
76316,RS 0257,A,3.000,Christian Spirituality,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'CNS 101'}]",Eleanor W.  Sauers
76817,RS 0263,A,3.000,New Religious Movements in America,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'CNS 303'}]",Lydia E. N.  Ciollo
