term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,39025,SP 0210,G,3.000,Intermediate Spanish I,"[{'days': 'TF', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'CNS 204'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'CNS 204'}]","['TF 0930am-1020am 01/19-05/03 CNS 204', 'W 0900am-0950am 01/19-05/03 CNS 204']",Patricia V.  Morabito,17,18,-1
Spring2016,39028,SP 0210,I,3.000,Intermediate Spanish I,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'DMH 131'}]",['TWF 1100am-1150am 01/19-05/03 DMH 131'],Viviana G.  Rigo de Alonso,18,10,8
Spring2016,38092,SP 0211,A,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 6'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'CNS 6'}]","['MR 1230pm-0120pm 01/19-05/03 CNS 6', 'W 1200pm-1250pm 01/19-05/03 CNS 6']",Javier F.  Campos,18,15,3
Spring2016,38365,SP 0211,B,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'CNS 2'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'CNS 2'}]","['MR 0930am-1020am 01/19-05/03 CNS 2', 'W 0900am-0950am 01/19-05/03 CNS 2']",Marilin   Sarria,18,17,1
Spring2016,38366,SP 0211,C,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 9'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 9'}]","['MR 1100am-1150am 01/19-05/03 CNS 9', 'W 1000am-1050am 01/19-05/03 CNS 9']",Marilin   Sarria,18,17,1
Spring2016,38367,SP 0211,D,3.000,Intermediate Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'CNS 2'}]",['MWR 0500pm-0550pm 01/19-05/03 CNS 2'],Xiomara A.  Brea,18,15,3
Spring2016,38368,SP 0211,E,3.000,Intermediate Spanish II,"[{'days': 'MWR', 'times': '0630pm-0720pm', 'dates': '01/19-05/03', 'location': 'CNS 2'}]",['MWR 0630pm-0720pm 01/19-05/03 CNS 2'],Xiomara A.  Brea,18,12,6
Spring2016,38457,SP 0211,G,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}, {'days': 'W', 'times': '0300pm-0350pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}]","['TF 0200pm-0250pm 01/19-05/03 DMH 149', 'W 0300pm-0350pm 01/19-05/03 DMH 149']",Noemi E.  Morriberon,18,9,9
Spring2016,38458,SP 0211,H,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}, {'days': 'W', 'times': '0300pm-0350pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}]","['TF 0200pm-0250pm 01/19-05/03 CNS 15', 'W 0300pm-0350pm 01/19-05/03 CNS 15']",Imara L.  Hernandez,18,18,0
Spring2016,38459,SP 0211,I,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '0330pm-0420pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}, {'days': 'W', 'times': '0400pm-0450pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}]","['TF 0330pm-0420pm 01/19-05/03 CNS 202', 'W 0400pm-0450pm 01/19-05/03 CNS 202']",Imara L.  Hernandez,18,17,1
