term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Fall2017,71516,BI 0151L,03,0.000,Elements of Microbiology Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 245'}]",['T 0200pm-0450pm 09/05-12/11 BNW 245'],Olivia T.  Harriott,16,16,0
Fall2017,72351,BI 0151L,04,0.000,Elements of Microbiology Lab,"[{'days': 'W', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 245'}]",['W 0200pm-0450pm 09/05-12/11 BNW 245'],Lori A.  John,16,15,1
Fall2017,72799,BI 0151L,05,0.000,Elements of Microbiology Lab,"[{'days': 'R', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 245'}]",['R 0200pm-0450pm 09/05-12/11 BNW 245'],Christine R.  Rodriguez,16,16,0
Fall2017,71178,BI 0170,01,4.000,General Biology I,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['TF 0930am-1045am 09/05-12/11 NHS 224'],Shelley A.  Phelan,12,11,1
Fall2017,71374,BI 0170,01C,4.000,General Biology I,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['TF 0930am-1045am 09/05-12/11 NHS 224'],Shelley A.  Phelan,0,36,-36
Fall2017,71937,BI 0170,02,4.000,General Biology I,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['TF 1230pm-0145pm 09/05-12/11 NHS 224'],Shelley A.  Phelan,12,12,0
Fall2017,71938,BI 0170,02C,4.000,General Biology I,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['TF 1230pm-0145pm 09/05-12/11 NHS 224'],Shelley A.  Phelan,0,42,-42
Fall2017,71517,BI 0170L,01,0.000,General Biology I Lab,"[{'days': 'M', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 261'}]",['M 0200pm-0450pm 09/05-12/11 BNW 261'],Phyllis Cellini  Braun,16,14,2
Fall2017,71518,BI 0170L,02,0.000,General Biology I Lab,"[{'days': 'M', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 264'}]",['M 0200pm-0450pm 09/05-12/11 BNW 264'],Bridget M.  Fine,16,14,2
Fall2017,71519,BI 0170L,03,0.000,General Biology I Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 261'}]",['T 0200pm-0450pm 09/05-12/11 BNW 261'],Anita G.  Fernandez,16,13,3
Fall2017,71520,BI 0170L,04,0.000,General Biology I Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 264'}]",['T 0200pm-0450pm 09/05-12/11 BNW 264'],Catherine J.  Andersen,16,13,3
Fall2017,71521,BI 0170L,05,0.000,General Biology I Lab,"[{'days': 'W', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 261'}]",['W 0200pm-0450pm 09/05-12/11 BNW 261'],Lenka   Biardi,16,10,6
Fall2017,71522,BI 0170L,06,0.000,General Biology I Lab,"[{'days': 'W', 'times': '0530pm-0820pm', 'dates': '09/05-12/11', 'location': 'BNW 261'}]",['W 0530pm-0820pm 09/05-12/11 BNW 261'],Lenka   Biardi,16,12,4
Fall2017,71523,BI 0170L,07,0.000,General Biology I Lab,"[{'days': 'R', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 261'}]",['R 0200pm-0450pm 09/05-12/11 BNW 261'],Phyllis Cellini  Braun,16,14,2
Fall2017,71524,BI 0170L,08,0.000,General Biology I Lab,"[{'days': 'R', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 264'}]",['R 0200pm-0450pm 09/05-12/11 BNW 264'],Bridget M.  Fine,16,11,5
Fall2017,71525,BI 0170P,01,0.000,General Biology I PLG,"[{'days': 'T', 'times': '0300pm-0350pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['T 0300pm-0350pm 09/05-12/11 BNW 319'],TBA,10,11,-1
Fall2017,71526,BI 0170P,02,0.000,General Biology I PLG,"[{'days': 'T', 'times': '0400pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['T 0400pm-0450pm 09/05-12/11 BNW 319'],TBA,10,7,3
Fall2017,71528,BI 0170P,03,0.000,General Biology I PLG,"[{'days': 'T', 'times': '0500pm-0550pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['T 0500pm-0550pm 09/05-12/11 BNW 319'],TBA,10,10,0
Fall2017,71530,BI 0170P,04,0.000,General Biology I PLG,"[{'days': 'T', 'times': '0600pm-0650pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['T 0600pm-0650pm 09/05-12/11 BNW 319'],TBA,10,9,1
Fall2017,71531,BI 0170P,05,0.000,General Biology I PLG,"[{'days': 'W', 'times': '0300pm-0350pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['W 0300pm-0350pm 09/05-12/11 BNW 319'],TBA,10,9,1
Fall2017,71532,BI 0170P,06,0.000,General Biology I PLG,"[{'days': 'W', 'times': '0400pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['W 0400pm-0450pm 09/05-12/11 BNW 319'],TBA,10,10,0
Fall2017,71533,BI 0170P,07,0.000,General Biology I PLG,"[{'days': 'W', 'times': '0500pm-0550pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['W 0500pm-0550pm 09/05-12/11 BNW 319'],TBA,10,5,5
Fall2017,71534,BI 0170P,08,0.000,General Biology I PLG,"[{'days': 'W', 'times': '0600pm-0650pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['W 0600pm-0650pm 09/05-12/11 BNW 319'],TBA,10,3,7
Fall2017,71535,BI 0170P,09,0.000,General Biology I PLG,"[{'days': 'R', 'times': '0300pm-0350pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['R 0300pm-0350pm 09/05-12/11 BNW 319'],TBA,10,9,1
Fall2017,71536,BI 0170P,10,0.000,General Biology I PLG,"[{'days': 'R', 'times': '0400pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['R 0400pm-0450pm 09/05-12/11 BNW 319'],TBA,10,9,1
Fall2017,71537,BI 0170P,11,0.000,General Biology I PLG,"[{'days': 'R', 'times': '0500pm-0550pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['R 0500pm-0550pm 09/05-12/11 BNW 319'],TBA,10,10,0
Fall2017,71538,BI 0170P,12,0.000,General Biology I PLG,"[{'days': 'R', 'times': '0600pm-0650pm', 'dates': '09/05-12/11', 'location': 'BNW 319'}]",['R 0600pm-0650pm 09/05-12/11 BNW 319'],TBA,10,9,1
Fall2017,71213,BI 0172,01,4.000,General Biology III,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['TF 1100am-1215pm 09/05-12/11 NHS 224'],Soyong   Byun,80,61,19
Fall2017,71539,BI 0172L,01,0.000,General Biology III Lab,"[{'days': 'M', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 369'}]",['M 0200pm-0450pm 09/05-12/11 BNW 369'],John F.  Karpinski,16,16,0
Fall2017,71540,BI 0172L,02,0.000,General Biology III Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 369'}]",['T 0200pm-0450pm 09/05-12/11 BNW 369'],James E.  Biardi,16,15,1
Fall2017,71541,BI 0172L,03,0.000,General Biology III Lab,"[{'days': 'W', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 369'}]",['W 0200pm-0450pm 09/05-12/11 BNW 369'],Tod   Osier,16,16,0
Fall2017,71939,BI 0172L,04,0.000,General Biology III Lab,"[{'days': 'R', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 369'}]",['R 0200pm-0450pm 09/05-12/11 BNW 369'],Tod   Osier,16,14,2
Fall2017,71545,BI 0201,01,1.000,Biology Teaching Practicum,[],[],Shannon P.  Gerry,0,8,-8
Fall2017,71587,BI 0202,01,1.000,Biology Teaching Practicum,[],[],Shannon P.  Gerry,0,2,-2
